Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Gls/90,npG,npG/90,xG/90,npxG/90,xG/Sh,npG-npxG,Sh_90,Gls_90,conversion_rate,xG_difference,conversion_rate_norm,SoT%_norm,xG_difference_norm,Gls_90_norm,efficiency_score
Patrik Schick,CZE,FW,Leverkusen,Bundesliga,28,1996,18.7,21,68,32,47.1,3.63,1.71,0.29,0.63,11.8,0,1,1,12.7,11.9,0.17,8.3,8.1,Matches,1.1229946524064172,20,1.0695187165775402,0.6791443850267379,0.6363636363636364,0.18676470588235294,8.1,3.6363636363636367,1.1229946524064172,0.3088235294117647,8.3,1.2719878455451865,0.8189935064935064,1.4945054945054947,1.4759764889557467,1.2551664017044557
Cristhian Stuani,URU,FW,Girona,La Liga,37,1986,12.0,11,31,16,51.6,2.59,1.34,0.26,0.5,12.7,0,3,3,8.1,5.8,0.19,2.9,2.2,Matches,0.9166666666666666,8,0.6666666666666666,0.6749999999999999,0.48333333333333334,0.26129032258064516,2.2,2.5833333333333335,0.9166666666666666,0.3548387096774194,2.9000000000000004,1.5433381085525557,1.0016233766233766,0.7527472527472528,1.1536211473481528,1.1323183193780546
Mika Biereth,DEN,FW,Monaco,Ligue 1,21,2003,13.6,13,40,22,55.0,2.93,1.61,0.3,0.55,11.6,0,1,2,11.3,9.7,0.24,1.7,2.3,Matches,0.9558823529411765,12,0.8823529411764706,0.8308823529411765,0.7132352941176471,0.28250000000000003,2.3000000000000007,2.9411764705882355,0.9558823529411765,0.325,1.6999999999999993,1.36738005140654,1.1396103896103895,0.5879120879120878,1.2148895492087755,1.0850725446443363
Chris Wood,NZL,FW,Nott'ham Forest,Premier League,32,1991,32.9,20,65,32,49.2,1.98,0.97,0.26,0.53,13.5,0,3,3,13.4,11.0,0.17,6.6,6.0,Matches,0.60790273556231,17,0.5167173252279635,0.4072948328267477,0.3343465045592705,0.20615384615384616,6.0,1.9756838905775076,0.60790273556231,0.3076923076923077,6.6,1.2653170619185183,0.9042207792207793,1.260989010989011,0.6712255957684872,1.0551426852817005
Alexander Sørloth,NOR,FW,Atlético Madrid,La Liga,28,1995,17.4,20,78,40,51.3,4.48,2.3,0.24,0.48,12.0,0,1,1,16.8,16.0,0.21,3.2,3.0,Matches,1.149425287356322,19,1.0919540229885059,0.9655172413793105,0.9195402298850576,0.2153846153846154,3.0,4.482758620689656,1.149425287356322,0.2564102564102564,3.1999999999999993,0.9629082041762319,0.9894480519480517,0.7939560439560439,1.5172702394260724,1.038177533114108
Randal Kolo Muani,FRA,FW,Juventus,Serie A,25,1998,12.9,8,25,13,52.0,1.94,1.01,0.28,0.54,13.2,0,1,1,4.7,3.9,0.16,3.3,3.1,Matches,0.6201550387596899,7,0.5426356589147286,0.3643410852713178,0.3023255813953488,0.188,3.1,1.937984496124031,0.6201550387596899,0.32,3.3,1.337895187776667,1.0178571428571428,0.8076923076923076,0.6903679111868765,0.9958295012077379
Ousmane Dembélé,FRA,FW,Paris S-G,Ligue 1,27,1997,19.2,21,96,49,51.0,4.99,2.55,0.21,0.41,16.0,0,1,1,16.6,15.8,0.16,4.4,4.2,Matches,1.09375,20,1.0416666666666667,0.8645833333333335,0.8229166666666667,0.1729166666666667,4.199999999999999,5.0,1.09375,0.21875,4.399999999999999,0.7408266992717406,0.9772727272727272,0.9587912087912087,1.4302862745000267,0.9923212486975115
Harry Kane,ENG,FW,Bayern Munich,Bundesliga,31,1993,26.5,26,105,45,42.9,3.97,1.7,0.16,0.38,16.3,6,9,9,20.3,13.3,0.13,5.7,3.7,Matches,0.9811320754716981,17,0.6415094339622641,0.7660377358490567,0.5018867924528302,0.19333333333333333,3.6999999999999993,3.9622641509433962,0.9811320754716981,0.24761904761904763,5.699999999999999,0.9110666857061259,0.6485389610389609,1.1373626373626373,1.2543383079539405,0.9706630669030254
Oihan Sancet,ESP,MF,Athletic Club,La Liga,24,2000,18.0,15,47,17,36.2,2.61,0.94,0.26,0.71,16.7,1,3,3,9.7,7.3,0.16,5.3,4.7,Matches,0.8333333333333334,12,0.6666666666666666,0.5388888888888889,0.40555555555555556,0.20638297872340425,4.7,2.611111111111111,0.8333333333333334,0.3191489361702128,5.300000000000001,1.3328764875843482,0.37662337662337675,1.0824175824175826,1.0234257933943303,0.9693083447144103
Myron Boadu,NED,FW,Bochum,Bundesliga,23,2001,11.6,9,27,13,48.1,2.33,1.12,0.3,0.62,11.7,0,1,1,7.7,6.9,0.26,1.3,1.1,Matches,0.7758620689655172,8,0.6896551724137931,0.6637931034482759,0.5948275862068966,0.2851851851851852,1.0999999999999996,2.3275862068965516,0.7758620689655172,0.3333333333333333,1.2999999999999998,1.4165214907896613,0.859577922077922,0.532967032967033,0.9336358941158316,0.9598198648213034
