Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Gls/90,npG,npG/90,xG/90,npxG/90,xG/Sh,npG-npxG,goals_above_xG,np_goals_above_xG,finishing_per_shot,np_finishing_per_shot,finishing_index,np_finishing_index,finishing_category
Alexis Saelemaekers,BEL,"DF,FW",Roma,Serie A,25,1999,15.4,7,25,12,48.0,1.62,0.78,0.28,0.58,16.7,0,0,0,2.5,2.5,0.1,4.5,4.5,Matches,0.45454545454545453,7,0.45454545454545453,0.16233766233766234,0.16233766233766234,0.1,4.5,4.5,4.5,0.18,0.18,675.1267216029446,671.3563513050253,Elite Finisher
Assane Diao,SEN,"FW,MF",Como,Serie A,18,2005,13.9,8,28,13,46.4,2.01,0.93,0.29,0.62,15.5,0,0,0,4.0,4.0,0.14,4.0,4.0,Matches,0.5755395683453237,8,0.5755395683453237,0.28776978417266186,0.28776978417266186,0.14285714285714285,4.0,4.0,4.0,0.14285714285714285,0.14285714285714285,535.8148584150354,532.8225010357344,Elite Finisher
Robin Gosens,GER,DF,Fiorentina,Serie A,30,1994,27.0,5,23,8,34.8,0.85,0.3,0.22,0.63,14.1,0,0,0,1.8,1.8,0.08,3.2,3.2,Matches,0.18518518518518517,5,0.18518518518518517,0.06666666666666667,0.06666666666666667,0.0782608695652174,3.2,3.2,3.2,0.1391304347826087,0.1391304347826087,521.8370794998606,518.9227836174109,Elite Finisher
Randal Kolo Muani,FRA,FW,Juventus,Serie A,25,1998,12.9,8,25,13,52.0,1.94,1.01,0.28,0.54,13.2,0,1,1,4.7,3.9,0.16,3.3,3.1,Matches,0.6201550387596899,7,0.5426356589147286,0.3643410852713178,0.3023255813953488,0.188,3.1,3.3,3.1,0.132,0.12916666666666668,495.0929291754928,481.76034468647657,Elite Finisher
Giovani Lo Celso,ARG,"MF,FW",Betis,La Liga,28,1996,16.2,8,31,16,51.6,1.91,0.99,0.19,0.38,22.0,4,2,3,4.8,2.4,0.08,3.2,3.6,Matches,0.4938271604938272,6,0.3703703703703704,0.2962962962962963,0.14814814814814814,0.15483870967741936,3.6,3.2,3.6,0.1032258064516129,0.1285714285714286,387.1694460805418,479.5402509321611,Elite Finisher
Patrik Schick,CZE,FW,Leverkusen,Bundesliga,28,1996,18.7,21,68,32,47.1,3.63,1.71,0.29,0.63,11.8,0,1,1,12.7,11.9,0.17,8.3,8.1,Matches,1.1229946524064172,20,1.0695187165775402,0.6791443850267379,0.6363636363636364,0.18676470588235294,8.1,8.3,8.1,0.12205882352941178,0.1208955223880597,457.80651873402303,450.91098221979314,Elite Finisher
Pedro,ESP,"FW,MF",Lazio,Serie A,37,1987,12.2,10,37,16,43.2,3.02,1.31,0.22,0.5,19.1,0,2,2,5.3,3.8,0.1,4.7,4.2,Matches,0.819672131147541,8,0.6557377049180328,0.43442622950819676,0.3114754098360656,0.14324324324324325,4.2,4.7,4.2,0.12702702702702703,0.12000000000000001,476.4407795095856,447.57090087001694,Elite Finisher
Armin Gigovic,BIH,MF,Holstein Kiel,Bundesliga,22,2002,21.1,5,26,10,38.5,1.23,0.47,0.19,0.5,19.0,1,0,0,1.9,1.9,0.07,3.1,3.1,Matches,0.23696682464454974,5,0.23696682464454974,0.0900473933649289,0.0900473933649289,0.07307692307692307,3.1,3.1,3.1,0.11923076923076924,0.11923076923076924,447.1993241387027,444.70185663367073,Elite Finisher
Roberto Férnandez,ESP,FW,Espanyol,La Liga,22,2002,16.6,6,21,9,42.9,1.26,0.54,0.29,0.67,14.0,0,0,0,3.6,3.6,0.17,2.4,2.4,Matches,0.36144578313253006,6,0.36144578313253006,0.21686746987951805,0.21686746987951805,0.17142857142857143,2.4,2.4,2.4,0.11428571428571428,0.11428571428571428,428.65188673202834,426.25800082858757,Elite Finisher
Lucas Stassin,BEL,FW,Saint-Étienne,Ligue 1,19,2004,21.0,12,44,23,52.3,2.1,1.1,0.27,0.52,14.1,0,0,0,7.0,7.0,0.18,3.0,3.0,Matches,0.5714285714285714,12,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.1590909090909091,5.0,5.0,5.0,0.11363636363636363,0.11363636363636363,426.2163646483236,423.83608036933424,Elite Finisher
