Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Gls/90,npG,npG/90,xG/90,npxG/90,xG/Sh,npG-npxG,conversion_rate,on_target_conversion,shot_quality,finishing_skill,non_pk_finishing,goals_p90,shots_p90,xG_p90,npxG_p90,conversion_rate_norm,SoT%_norm,shot_quality_norm,finishing_skill_norm,goals_p90_norm,shooting_efficiency_score
Mika Biereth,DEN,FW,Monaco,Ligue 1,21,2003,13.6,13,40,22,55.0,2.93,1.61,0.3,0.55,11.6,0,1,2,11.3,9.7,0.24,1.7,2.3,Matches,0.9558823529411765,12,0.8823529411764706,0.8308823529411765,0.7132352941176471,0.28250000000000003,2.3000000000000007,0.325,0.5909090909090909,0.2425,1.6999999999999993,2.3000000000000007,0.9558823529411765,2.9411764705882355,0.8308823529411765,0.7132352941176471,1.36738005140654,1.1396103896103895,1.4088952094534206,0.5879120879120878,1.2148895492087755,1.1827108556929653
Patrik Schick,CZE,FW,Leverkusen,Bundesliga,28,1996,18.7,21,68,32,47.1,3.63,1.71,0.29,0.63,11.8,0,1,1,12.7,11.9,0.17,8.3,8.1,Matches,1.1229946524064172,20,1.0695187165775402,0.6791443850267379,0.6363636363636364,0.18676470588235294,8.1,0.3088235294117647,0.65625,0.17500000000000002,8.3,8.1,1.1229946524064172,3.6363636363636367,0.6791443850267379,0.6363636363636364,1.2719878455451865,0.8189935064935064,0.8599364475905409,1.4945054945054947,1.4759764889557467,1.1731540741700797
Cristhian Stuani,URU,FW,Girona,La Liga,37,1986,12.0,11,31,16,51.6,2.59,1.34,0.26,0.5,12.7,0,3,3,8.1,5.8,0.19,2.9,2.2,Matches,0.9166666666666666,8,0.6666666666666666,0.6749999999999999,0.48333333333333334,0.26129032258064516,2.2,0.3548387096774194,0.6875,0.1870967741935484,2.9000000000000004,2.2,0.9166666666666666,2.5833333333333335,0.6749999999999999,0.48333333333333334,1.5433381085525557,1.0016233766233766,0.9583161540175803,0.7527472527472528,1.1536211473481528,1.121458750648049
Myron Boadu,NED,FW,Bochum,Bundesliga,23,2001,11.6,9,27,13,48.1,2.33,1.12,0.3,0.62,11.7,0,1,1,7.7,6.9,0.26,1.3,1.1,Matches,0.7758620689655172,8,0.6896551724137931,0.6637931034482759,0.5948275862068966,0.2851851851851852,1.0999999999999996,0.3333333333333333,0.6923076923076923,0.2555555555555556,1.2999999999999998,1.0999999999999996,0.7758620689655172,2.3275862068965516,0.6637931034482759,0.5948275862068966,1.4165214907896613,0.859577922077922,1.515072418538011,0.532967032967033,0.9336358941158316,1.0957326745888232
Alexander Sørloth,NOR,FW,Atlético Madrid,La Liga,28,1995,17.4,20,78,40,51.3,4.48,2.3,0.24,0.48,12.0,0,1,1,16.8,16.0,0.21,3.2,3.0,Matches,1.149425287356322,19,1.0919540229885059,0.9655172413793105,0.9195402298850576,0.2153846153846154,3.0,0.2564102564102564,0.5,0.20512820512820512,3.1999999999999993,3.0,1.149425287356322,4.482758620689656,0.9655172413793105,0.9195402298850576,0.9629082041762319,0.9894480519480517,1.1049607762472868,0.7939560439560439,1.5172702394260724,1.082156271161747
Chris Wood,NZL,FW,Nott'ham Forest,Premier League,32,1991,32.9,20,65,32,49.2,1.98,0.97,0.26,0.53,13.5,0,3,3,13.4,11.0,0.17,6.6,6.0,Matches,0.60790273556231,17,0.5167173252279635,0.4072948328267477,0.3343465045592705,0.20615384615384616,6.0,0.3076923076923077,0.625,0.16923076923076924,6.6,6.0,0.60790273556231,1.9756838905775076,0.4072948328267477,0.3343465045592705,1.2653170619185183,0.9042207792207793,0.8130168952945682,1.260989010989011,0.6712255957684872,0.9831702711847482
Ousmane Dembélé,FRA,FW,Paris S-G,Ligue 1,27,1997,19.2,21,96,49,51.0,4.99,2.55,0.21,0.41,16.0,0,1,1,16.6,15.8,0.16,4.4,4.2,Matches,1.09375,20,1.0416666666666667,0.8645833333333335,0.8229166666666667,0.1729166666666667,4.199999999999999,0.21875,0.42857142857142855,0.16458333333333333,4.399999999999999,4.199999999999999,1.09375,5.0,0.8645833333333335,0.8229166666666667,0.7408266992717406,0.9772727272727272,0.7752205892783679,0.9587912087912087,1.4302862745000267,0.9655812743468408
Alexandre Lacazette,FRA,FW,Lyon,Ligue 1,33,1991,22.8,15,53,31,58.5,2.33,1.36,0.19,0.32,13.5,1,5,6,16.3,11.7,0.22,-1.3,-1.7,Matches,0.6578947368421052,10,0.43859649122807015,0.7149122807017544,0.513157894736842,0.30754716981132074,-1.6999999999999993,0.2830188679245283,0.4838709677419355,0.22075471698113205,-1.3000000000000007,-1.6999999999999993,0.6578947368421052,2.324561403508772,0.7149122807017544,0.513157894736842,1.1198184605519466,1.281655844155844,1.2320468591957072,0.1758241758241757,0.749330311386282,0.9589348444591798
Jørgen Strand Larsen,NOR,FW,Wolves,Premier League,24,2000,28.7,14,54,33,61.1,1.88,1.15,0.26,0.42,11.3,0,0,0,10.3,10.3,0.19,3.7,3.7,Matches,0.4878048780487805,14,0.4878048780487805,0.35888501742160284,0.35888501742160284,0.19074074074074077,3.6999999999999993,0.25925925925925924,0.42424242424242425,0.19074074074074077,3.6999999999999993,3.6999999999999993,0.4878048780487805,1.8815331010452963,0.35888501742160284,0.35888501742160284,0.9797086962730256,1.3871753246753247,0.9879515223733799,0.8626373626373626,0.4835913989516501,0.9460664276639317
Sofiane Diop,FRA,"MF,FW",Nice,Ligue 1,24,2000,11.8,6,22,11,50.0,1.86,0.93,0.27,0.55,16.4,3,0,0,6.0,6.0,0.27,0.0,0.0,Matches,0.5084745762711864,6,0.5084745762711864,0.5084745762711864,0.5084745762711864,0.2727272727272727,0.0,0.2727272727272727,0.5454545454545454,0.2727272727272727,0.0,0.0,0.5084745762711864,1.8644067796610169,0.5084745762711864,0.5084745762711864,1.0591292043669593,0.9366883116883116,1.6547252273920166,0.35439560439560436,0.5158845830658683,0.9394012661803198
Randal Kolo Muani,FRA,FW,Juventus,Serie A,25,1998,12.9,8,25,13,52.0,1.94,1.01,0.28,0.54,13.2,0,1,1,4.7,3.9,0.16,3.3,3.1,Matches,0.6201550387596899,7,0.5426356589147286,0.3643410852713178,0.3023255813953488,0.188,3.1,0.32,0.6153846153846154,0.156,3.3,3.1,0.6201550387596899,1.937984496124031,0.3643410852713178,0.3023255813953488,1.337895187776667,1.0178571428571428,0.7054147220291376,0.8076923076923076,0.6903679111868765,0.9383555983126444
Oihan Sancet,ESP,MF,Athletic Club,La Liga,24,2000,18.0,15,47,17,36.2,2.61,0.94,0.26,0.71,16.7,1,3,3,9.7,7.3,0.16,5.3,4.7,Matches,0.8333333333333334,12,0.6666666666666666,0.5388888888888889,0.40555555555555556,0.20638297872340425,4.7,0.3191489361702128,0.8823529411764706,0.15531914893617021,5.300000000000001,4.7,0.8333333333333334,2.611111111111111,0.5388888888888889,0.40555555555555556,1.3328764875843482,0.37662337662337675,0.6998775493326483,1.0824175824175826,1.0234257933943303,0.9155671031287954
Ayoze Pérez,ESP,FW,Villarreal,La Liga,31,1993,21.9,19,75,31,41.3,3.43,1.42,0.25,0.61,14.2,0,0,0,12.7,12.7,0.18,6.3,6.3,Matches,0.8675799086757991,19,0.8675799086757991,0.5799086757990868,0.5799086757990868,0.16933333333333334,6.300000000000001,0.25333333333333335,0.6129032258064516,0.16933333333333334,6.300000000000001,6.300000000000001,0.8675799086757991,3.4246575342465757,0.5799086757990868,0.5799086757990868,0.944763672711695,0.583603896103896,0.8138510206687187,1.2197802197802199,1.0769307333753535,0.9140350811745505
Borja Iglesias,ESP,FW,Celta Vigo,La Liga,31,1993,21.7,11,46,28,60.9,2.12,1.29,0.24,0.39,13.4,0,0,0,9.3,9.3,0.2,1.7,1.7,Matches,0.5069124423963134,11,0.5069124423963134,0.4285714285714286,0.4285714285714286,0.2021739130434783,1.6999999999999993,0.2391304347826087,0.39285714285714285,0.2021739130434783,1.6999999999999993,1.6999999999999993,0.5069124423963134,2.119815668202765,0.4285714285714286,0.4285714285714286,0.8610095673282878,1.3790584415584415,1.0809343388396875,0.5879120879120878,0.5134439921927201,0.898126559537055
Emanuel Emegha,NED,FW,Strasbourg,Ligue 1,21,2003,25.5,14,61,35,57.4,2.39,1.37,0.23,0.4,12.5,0,0,0,17.0,17.0,0.28,-3.0,-3.0,Matches,0.5490196078431373,14,0.5490196078431373,0.6666666666666666,0.6666666666666666,0.2786885245901639,-3.0,0.22950819672131148,0.4,0.2786885245901639,-3.0,-3.0,0.5490196078431373,2.392156862745098,0.6666666666666666,0.6666666666666666,0.8042674919179834,1.237012987012987,1.7032064339372839,-0.05769230769230775,0.5792298799048171,0.8963028869966675
Lucas Stassin,BEL,FW,Saint-Étienne,Ligue 1,19,2004,21.0,12,44,23,52.3,2.1,1.1,0.27,0.52,14.1,0,0,0,7.0,7.0,0.18,3.0,3.0,Matches,0.5714285714285714,12,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.1590909090909091,5.0,0.2727272727272727,0.5217391304347826,0.1590909090909091,5.0,5.0,0.5714285714285714,2.0952380952380953,0.3333333333333333,0.3333333333333333,1.0591292043669593,1.0300324675324672,0.7305522276228587,1.0412087912087913,0.6142403952537441,0.8959286378548725
