Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Gls/90,npG,npG/90,xG/90,npxG/90,xG/Sh,npG-npxG,shots_p90,accuracy,conversion,shots_p90_norm,accuracy_norm,conversion_norm,Dist_norm,shooting_profile
Kylian Mbappé,FRA,FW,Real Madrid,La Liga,25,1998,32.3,31,152,75,49.3,4.71,2.32,0.16,0.32,17.3,3,7,9,25.9,18.6,0.12,5.1,5.4,Matches,0.9597523219814242,24,0.7430340557275542,0.8018575851393189,0.5758513931888546,0.17039473684210527,5.399999999999999,4.705882352941177,0.4934210526315789,0.20394736842105263,1.324890715322772,0.9093282689765336,0.6535359845780379,0.5867768595041323,Volume Shooter
Mohamed Salah,EGY,FW,Liverpool,Premier League,32,1992,37.5,29,121,50,41.3,3.23,1.33,0.17,0.4,14.5,1,9,9,25.2,18.2,0.15,3.8,1.8,Matches,0.7733333333333333,20,0.5333333333333333,0.6719999999999999,0.48533333333333334,0.20826446280991734,1.8000000000000007,3.2266666666666666,0.4132231404958678,0.2396694214876033,0.7768847293047073,0.5838176979549586,0.8641879572273038,0.2975206611570248,Balanced Shooter
Robert Lewandowski,POL,FW,Barcelona,La Liga,35,1988,29.6,27,111,45,40.5,3.75,1.52,0.22,0.53,13.2,5,3,4,27.1,24.0,0.22,-0.1,0.0,Matches,0.9121621621621622,24,0.8108108108108107,0.9155405405405406,0.8108108108108107,0.24414414414414415,0.0,3.75,0.40540540540540543,0.24324324324324326,0.970764365662371,0.552086754522347,0.8852626866478073,0.16322314049586775,Volume Shooter
Harry Kane,ENG,FW,Bayern Munich,Bundesliga,31,1993,26.5,26,105,45,42.9,3.97,1.7,0.16,0.38,16.3,6,9,9,20.3,13.3,0.13,5.7,3.7,Matches,0.9811320754716981,17,0.6415094339622641,0.7660377358490567,0.5018867924528302,0.19333333333333333,3.6999999999999993,3.9622641509433962,0.42857142857142855,0.24761904761904763,1.0494020020891364,0.6461139583267389,0.9110666857061259,0.48347107438016534,Volume Shooter
Mateo Retegui,ITA,FW,Atalanta,Serie A,25,1999,26.5,25,99,32,32.3,3.74,1.21,0.21,0.66,12.8,2,4,5,18.9,14.9,0.15,6.1,6.1,Matches,0.9433962264150944,21,0.7924528301886793,0.7132075471698113,0.5622641509433962,0.1909090909090909,6.1,3.7358490566037736,0.32323232323232326,0.25252525252525254,0.9655218565672533,0.21855928244178482,0.939998442226059,0.12190082644628113,Volume Shooter
Alexander Isak,SWE,FW,Newcastle Utd,Premier League,24,1999,30.6,23,95,41,43.2,3.1,1.34,0.2,0.46,14.5,3,4,4,20.3,17.2,0.18,2.7,1.8,Matches,0.7516339869281046,19,0.6209150326797386,0.6633986928104575,0.5620915032679739,0.2136842105263158,1.8000000000000007,3.104575163398693,0.43157894736842106,0.24210526315789474,0.7316534116181687,0.6583209988206425,0.8785520491218047,0.2975206611570248,Penalty Box Scorer
Erling Haaland,NOR,FW,Manchester City,Premier League,24,2000,30.4,22,104,55,52.9,3.42,1.81,0.18,0.35,12.3,1,3,4,22.0,18.8,0.19,0.0,0.2,Matches,0.7236842105263158,19,0.625,0.7236842105263158,0.618421052631579,0.21153846153846154,0.1999999999999993,3.4210526315789473,0.5288461538461539,0.21153846153846154,0.8488990226618282,1.0531131209479936,0.6983004536517315,0.07024793388429766,Penalty Box Scorer
Mason Greenwood,ENG,"FW,MF",Marseille,Ligue 1,22,2001,31.2,21,111,45,40.5,3.56,1.44,0.13,0.31,19.8,3,7,9,16.3,9.1,0.08,4.7,4.9,Matches,0.6730769230769231,14,0.44871794871794873,0.5224358974358975,0.2916666666666667,0.14684684684684685,4.9,3.557692307692308,0.40540540540540543,0.1891891891891892,0.899520011292823,0.552086754522347,0.5665074041626947,0.8450413223140496,Distance Shooter
Patrik Schick,CZE,FW,Leverkusen,Bundesliga,28,1996,18.7,21,68,32,47.1,3.63,1.71,0.29,0.63,11.8,0,1,1,12.7,11.9,0.17,8.3,8.1,Matches,1.1229946524064172,20,1.0695187165775402,0.6791443850267379,0.6363636363636364,0.18676470588235294,8.1,3.6363636363636367,0.47058823529411764,0.3088235294117647,0.9286654289894564,0.8166534946386265,1.2719878455451865,0.0185950413223142,Penalty Box Scorer
Ousmane Dembélé,FRA,FW,Paris S-G,Ligue 1,27,1997,19.2,21,96,49,51.0,4.99,2.55,0.21,0.41,16.0,0,1,1,16.6,15.8,0.16,4.4,4.2,Matches,1.09375,20,1.0416666666666667,0.8645833333333335,0.8229166666666667,0.1729166666666667,4.199999999999999,5.0,0.5104166666666666,0.21875,1.433852669064434,0.9783107634342696,0.7408266992717406,0.4524793388429752,Volume Shooter
