Player,Squad,Pos,Age,90s,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,xG,npxG,SCA,GCA,SCA90,GCA90,goals_p90,xG_p90,goals_p90_norm,xG_p90_norm,SCA90_norm,GCA90_norm,shooting_component,creation_component,shot_contribution_score,contribution_type
Ousmane Dembélé,Paris S-G,FW,27,19.2,21,96,49,51.0,0.21,0.41,16.6,15.8,110,15,5.72,0.78,1.09375,0.8645833333333335,1.4357971336871114,1.327858614407094,1.0802700675168793,1.0086682427107962,1.3926217259751046,1.0516293375944459,1.2221255317847752,Mixed Contributor
Omar Marmoush,Eint Frankfurt,FW,25,16.1,15,75,34,45.3,0.17,0.38,8.8,7.3,91,21,5.66,1.31,0.9316770186335402,0.546583850931677,1.1814939718825,0.7582756263954801,1.0652663165791447,1.8439716312056742,1.012206633687692,1.3767484424297565,1.1944775380587243,Mixed Contributor
Harry Kane,Bayern Munich,FW,31,26.5,26,105,45,42.9,0.16,0.38,20.3,13.3,89,21,3.36,0.79,0.9811320754716981,0.7660377358490567,1.2590922070425832,1.1513492205974902,0.49012253063265815,1.0244286840031525,1.215995012464546,0.7038449919808558,0.9599200022227009,Shooter
Amine Gouiri,Marseille,"FW,MF",24,11.6,10,51,24,47.1,0.2,0.42,8.4,8.4,56,7,4.81,0.6,0.8620689655172414,0.7241379310344828,1.0722743607832659,1.0763006203823344,0.8527131782945735,0.7249802994483847,1.0738848646228933,0.801620026756098,0.9377524456894957,Mixed Contributor
Kylian Mbappé,Real Madrid,FW,25,32.3,31,152,75,49.3,0.16,0.32,25.9,18.6,133,15,4.12,0.46,0.9597523219814242,0.8018575851393189,1.2255459683953993,1.2155077426013203,0.6801700425106277,0.5043341213553981,1.2215306780777677,0.6098356740485359,0.9156831760631519,Shooter
Mohamed Salah,Liverpool,FW,32,37.5,29,121,50,41.3,0.17,0.4,25.2,18.2,169,27,4.51,0.72,0.7733333333333333,0.6719999999999999,0.9330423207551015,0.982914057853736,0.7776944236059015,0.914105594956659,0.9529910155945552,0.8322588921462044,0.8926249538703799,Mixed Contributor
Dani Olmo,Barcelona,"MF,FW",26,13.5,10,40,15,37.5,0.2,0.53,6.5,4.9,66,12,4.9,0.89,0.7407407407407407,0.48148148148148145,0.8819024004684182,0.6416678827663812,0.8752188047011754,1.1820330969267143,0.7858085933876033,0.9979445215913909,0.8918765574894971,Mixed Contributor
Isco,Betis,MF,32,17.2,9,38,9,23.7,0.11,0.44,8.6,3.9,111,14,6.46,0.81,0.5232558139534884,0.5,0.5406542537351327,0.6748372232686515,1.2653163290822707,1.0559495665878649,0.5943274415485402,1.1815696240845082,0.8879485328165242,Creator
Gonçalo Ramos,Paris S-G,FW,23,11.8,10,52,29,55.8,0.15,0.28,13.6,11.3,30,6,2.54,0.51,0.847457627118644,1.1525423728813557,1.049348210343922,1.8436348318147444,0.28507126781695424,0.5831363278171791,1.3670628589322509,0.4042972918170442,0.8856800753746475,Shooter
Michael Olise,Bayern Munich,"FW,MF",22,25.9,12,86,36,41.9,0.14,0.33,9.7,9.7,169,25,6.51,0.96,0.46332046332046334,0.3745173745173745,0.44661174867759,0.45007972295404125,1.2778194548637158,1.2923561859732076,0.4479989383881705,1.2836341473075126,0.8658165428478415,Creator
