Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Gls/90,npG,npG/90,xG/90,npxG/90,xG/Sh,npG-npxG,xG_per_shot,npxG_per_shot,shot_placement,shot_selection_score,shot_selection_category
Emanuel Emegha,NED,FW,Strasbourg,Ligue 1,21,2003,25.5,14,61,35,57.4,2.39,1.37,0.23,0.4,12.5,0,0,0,17.0,17.0,0.28,-3.0,-3.0,Matches,0.5490196078431373,14,0.5490196078431373,0.6666666666666666,0.6666666666666666,0.2786885245901639,-3.0,0.2786885245901639,0.2786885245901639,0.5737704918032787,1.164527873523282,Elite Shot Selector
Mika Biereth,DEN,FW,Monaco,Ligue 1,21,2003,13.6,13,40,22,55.0,2.93,1.61,0.3,0.55,11.6,0,1,2,11.3,9.7,0.24,1.7,2.3,Matches,0.9558823529411765,12,0.8823529411764706,0.8308823529411765,0.7132352941176471,0.28250000000000003,2.3000000000000007,0.28250000000000003,0.2552631578947368,0.55,1.0626052474052634,Elite Shot Selector
Alexandre Lacazette,FRA,FW,Lyon,Ligue 1,33,1991,22.8,15,53,31,58.5,2.33,1.36,0.19,0.32,13.5,1,5,6,16.3,11.7,0.22,-1.3,-1.7,Matches,0.6578947368421052,10,0.43859649122807015,0.7149122807017544,0.513157894736842,0.30754716981132074,-1.6999999999999993,0.30754716981132074,0.24893617021276596,0.5849056603773585,1.041118808015006,Elite Shot Selector
Myron Boadu,NED,FW,Bochum,Bundesliga,23,2001,11.6,9,27,13,48.1,2.33,1.12,0.3,0.62,11.7,0,1,1,7.7,6.9,0.26,1.3,1.1,Matches,0.7758620689655172,8,0.6896551724137931,0.6637931034482759,0.5948275862068966,0.2851851851851852,1.0999999999999996,0.2851851851851852,0.2653846153846154,0.48148148148148145,1.0166737833641357,Elite Shot Selector
Gonçalo Ramos,POR,FW,Paris S-G,Ligue 1,23,2001,11.8,10,52,29,55.8,4.39,2.45,0.15,0.28,11.3,0,2,3,13.6,11.3,0.22,-3.6,-3.3,Matches,0.847457627118644,8,0.6779661016949152,1.1525423728813557,0.9576271186440678,0.26153846153846155,-3.3000000000000007,0.26153846153846155,0.2306122448979592,0.5576923076923077,0.9818058220411092,Elite Shot Selector
Sofiane Diop,FRA,"MF,FW",Nice,Ligue 1,24,2000,11.8,6,22,11,50.0,1.86,0.93,0.27,0.55,16.4,3,0,0,6.0,6.0,0.27,0.0,0.0,Matches,0.5084745762711864,6,0.5084745762711864,0.5084745762711864,0.5084745762711864,0.2727272727272727,0.0,0.2727272727272727,0.2727272727272727,0.5,0.9708190739145074,Elite Shot Selector
Jørgen Strand Larsen,NOR,FW,Wolves,Premier League,24,2000,28.7,14,54,33,61.1,1.88,1.15,0.26,0.42,11.3,0,0,0,10.3,10.3,0.19,3.7,3.7,Matches,0.4878048780487805,14,0.4878048780487805,0.35888501742160284,0.35888501742160284,0.19074074074074077,3.6999999999999993,0.19074074074074077,0.19074074074074077,0.6111111111111112,0.8909873169368486,Elite Shot Selector
Borja Iglesias,ESP,FW,Celta Vigo,La Liga,31,1993,21.7,11,46,28,60.9,2.12,1.29,0.24,0.39,13.4,0,0,0,9.3,9.3,0.2,1.7,1.7,Matches,0.5069124423963134,11,0.5069124423963134,0.4285714285714286,0.4285714285714286,0.2021739130434783,1.6999999999999993,0.2021739130434783,0.2021739130434783,0.6086956521739131,0.8893517819145039,Elite Shot Selector
Lucas Höler,GER,"FW,MF",Freiburg,Bundesliga,30,1994,20.7,6,34,17,50.0,1.64,0.82,0.18,0.35,10.8,0,0,1,7.7,6.9,0.21,-1.7,-0.9,Matches,0.2898550724637681,6,0.2898550724637681,0.37198067632850246,0.33333333333333337,0.22647058823529412,-0.9000000000000004,0.22647058823529412,0.2090909090909091,0.5,0.8377569150620556,Elite Shot Selector
Alexander Sørloth,NOR,FW,Atlético Madrid,La Liga,28,1995,17.4,20,78,40,51.3,4.48,2.3,0.24,0.48,12.0,0,1,1,16.8,16.0,0.21,3.2,3.0,Matches,1.149425287356322,19,1.0919540229885059,0.9655172413793105,0.9195402298850576,0.2153846153846154,3.0,0.2153846153846154,0.2077922077922078,0.5128205128205128,0.8234976240669336,Elite Shot Selector
Cristhian Stuani,URU,FW,Girona,La Liga,37,1986,12.0,11,31,16,51.6,2.59,1.34,0.26,0.5,12.7,0,3,3,8.1,5.8,0.19,2.9,2.2,Matches,0.9166666666666666,8,0.6666666666666666,0.6749999999999999,0.48333333333333334,0.26129032258064516,2.2,0.26129032258064516,0.20714285714285713,0.5161290322580645,0.8105250257413754,Elite Shot Selector
Sebastian Nanasi,SWE,"MF,FW",Strasbourg,Ligue 1,22,2002,23.4,6,28,12,42.9,1.2,0.51,0.21,0.5,12.4,1,0,0,6.5,6.5,0.23,-0.5,-0.5,Matches,0.25641025641025644,6,0.25641025641025644,0.2777777777777778,0.2777777777777778,0.23214285714285715,-0.5,0.23214285714285715,0.23214285714285715,0.42857142857142855,0.8078376212807824,Elite Shot Selector
Serhou Guirassy,GUI,FW,Dortmund,Bundesliga,28,1996,28.9,21,86,33,38.4,2.98,1.14,0.21,0.55,12.1,1,3,4,22.7,19.6,0.23,-1.7,-1.6,Matches,0.726643598615917,18,0.6228373702422145,0.7854671280276817,0.6782006920415226,0.26395348837209304,-1.6000000000000014,0.26395348837209304,0.23902439024390246,0.38372093023255816,0.7863246607152953,Good Shot Selector
Erling Haaland,NOR,FW,Manchester City,Premier League,24,2000,30.4,22,104,55,52.9,3.42,1.81,0.18,0.35,12.3,1,3,4,22.0,18.8,0.19,0.0,0.2,Matches,0.7236842105263158,19,0.625,0.7236842105263158,0.618421052631579,0.21153846153846154,0.1999999999999993,0.21153846153846154,0.188,0.5288461538461539,0.759442056134493,Good Shot Selector
Robert Lewandowski,POL,FW,Barcelona,La Liga,35,1988,29.6,27,111,45,40.5,3.75,1.52,0.22,0.53,13.2,5,3,4,27.1,24.0,0.22,-0.1,0.0,Matches,0.9121621621621622,24,0.8108108108108107,0.9155405405405406,0.8108108108108107,0.24414414414414415,0.0,0.24414414414414415,0.22429906542056074,0.40540540540540543,0.7324379086506381,Good Shot Selector
Yoane Wissa,COD,FW,Brentford,Premier League,27,1996,32.4,19,90,41,45.6,2.77,1.26,0.21,0.46,13.2,0,0,0,18.5,18.5,0.21,0.5,0.5,Matches,0.5864197530864198,19,0.5864197530864198,0.5709876543209876,0.5709876543209876,0.20555555555555555,0.5,0.20555555555555555,0.20555555555555555,0.45555555555555555,0.720232001002285,Good Shot Selector
Nick Woltemade,GER,"FW,MF",Stuttgart,Bundesliga,22,2002,18.0,12,46,23,50.0,2.55,1.28,0.22,0.43,12.3,0,2,3,10.2,8.0,0.17,1.8,2.0,Matches,0.6666666666666666,10,0.5555555555555556,0.5666666666666667,0.4444444444444444,0.2217391304347826,2.0,0.2217391304347826,0.18604651162790697,0.5,0.7166809749971208,Good Shot Selector
Ermedin Demirović,BIH,FW,Stuttgart,Bundesliga,26,1998,20.6,15,64,27,42.2,3.11,1.31,0.23,0.56,11.3,0,0,2,14.1,12.4,0.19,0.9,2.6,Matches,0.7281553398058251,15,0.7281553398058251,0.6844660194174756,0.6019417475728155,0.2203125,2.5999999999999996,0.2203125,0.2,0.421875,0.696759445994785,Good Shot Selector
Bradley Barcola,FRA,FW,Paris S-G,Ligue 1,21,2002,24.2,14,74,38,51.4,3.05,1.57,0.19,0.37,13.2,0,0,0,13.4,13.4,0.18,0.6,0.6,Matches,0.578512396694215,14,0.578512396694215,0.5537190082644629,0.5537190082644629,0.1810810810810811,0.5999999999999996,0.1810810810810811,0.1810810810810811,0.5135135135135135,0.6951300388150087,Good Shot Selector
Ludovic Ajorque,FRA,FW,Brest,Ligue 1,30,1994,27.7,13,53,25,47.2,1.91,0.9,0.25,0.52,12.1,0,0,1,10.4,9.6,0.18,2.6,3.4,Matches,0.4693140794223827,13,0.4693140794223827,0.37545126353790614,0.34657039711191334,0.19622641509433963,3.4000000000000004,0.19622641509433963,0.1846153846153846,0.4716981132075472,0.68075684668977,Good Shot Selector
